都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,経度,緯度,,2400分割,3600分割,,480分割,720分割
石狩,14286,四,支笏湖畔,ｼｺﾂｺﾊﾝ,千歳市支笏湖温泉番外地,42,46.3,141,24.4,290,10,1.5,#昭52.10.14,－,－,141.4066667,42.77166667,,1712,2732,,342,546
石狩,14296,官,千歳,ﾁﾄｾ,千歳市美々　新千歳航空測候所,42,46.5,141,41.5,22,9.8,－,平15.1.1,14923,日照を除く,141.6916667,42.775,,1735,2733,,347,546
空知,15116,四,石狩沼田,ｲｼｶﾘﾇﾏﾀ,雨竜郡沼田町緑町,43,48.9,141,55.6,63,10,1.5,#昭51.4.1,－,－,141.9266667,43.815,,1754,2857,,350,571
空知,15161,四,深川,ﾌｶｶﾞﾜ,深川市一已町一已,43,43.1,142,4.4,55,10,1.5,#昭52.10.7,15910,－,142.0733333,43.71833333,,1765,2846,,353,569
空知,15197,雨,雨竜,ｳﾘｭｳ,雨竜郡雨竜町満寿,43,39.6,141,53.5,42,－,－,平17.11.1,－,－,141.8916667,43.66,,1751,2839,,350,567
空知,15216,雨,新城,ｼﾝｼﾞｮｳ,芦別市新城,43,36.7,142,12.2,147,－,－,昭59.10.5,－,－,142.2033333,43.61166667,,1776,2833,,355,566
空知,15231,四,空知吉野,ｿﾗﾁﾖｼﾉ,樺戸郡新十津川町吉野,43,35.7,141,43.9,100,10,1.5,昭53.11.2,－,－,141.7316667,43.595,,1738,2831,,347,566
空知,15241,四,滝川,ﾀｷｶﾜ,滝川市南滝の川,43,34.2,141,56.3,50,9.6,1.5,#昭51.4.1,15930,－,141.9383333,43.57,,1755,2828,,351,565
空知,15247,雨,赤平,ｱｶﾋﾞﾗ,赤平市東豊里町,43,33.2,142,4,120,－,－,平17.10.31,－,－,142.0666667,43.55333333,,1765,2826,,353,565
空知,15251,四,芦別,ｱｼﾍﾞﾂ,芦別市北2条東,43,31.2,142,11.4,91,10,1.5,#昭53.10.25,15915,－,142.19,43.52,,1775,2822,,355,564
空知,15276,雨,浦臼,ｳﾗｳｽ,樺戸郡浦臼町浦臼内,43,25.7,141,48.5,25,－,－,昭58.8.2,－,－,141.8083333,43.42833333,,1744,2811,,348,562
空知,15311,四,月形,ﾂｷｶﾞﾀ,樺戸郡月形町知来乙,43,19.8,141,37,50,10,1.5,(昭50.5.16)昭52.10.6,－,－,141.6166667,43.33,,1729,2799,,345,559
空知,15321,四,美唄,ﾋﾞﾊﾞｲ,美唄市北美唄町二区,43,21.8,141,49.6,16,10,1.5,#昭52.10.5,15920,－,141.8266667,43.36333333,,1746,2803,,349,560
空知,15356,官,岩見沢,ｲﾜﾐｻﾞﾜ,岩見沢市5条東　岩見沢特別地域気象観測所,43,12.7,141,47.1,42,22.1,－,#昭50.4.3,15923,－,141.785,43.21166667,,1742,2785,,348,557
空知,15391,雨,栗沢,ｸﾘｻﾜ,岩見沢市栗沢町東本町,43,7.3,141,44.7,20,－,－,昭50.6.7,－,－,141.745,43.12166667,,1739,2774,,347,554
空知,15431,四,長沼,ﾅｶﾞﾇﾏ,夕張郡長沼町本町北,43,0.7,141,41.6,13,10,2.5,#昭52.10.5,－,－,141.6933333,43.01166667,,1735,2761,,347,552
空知,15442,四,夕張,ﾕｳﾊﾞﾘ,夕張市鹿の谷山手町,43,2.3,141,57.4,293,9.4,1.5,#昭51.4.1,15925,－,141.9566667,43.03833333,,1756,2764,,351,552
